name,cuisine,avg_del_time,avg_price_for_2,offers
Seedha Saada Samosa,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Sanskari Paratha,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Mini kitchen,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
PUNJAB NATIONAL HOTEL,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Roti Curry & Co,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Juice 'o' juice,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Delights by INOX,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Angrezee Tadka,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
THE BURGER COMPANY,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
The True Italian pizza,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Top Bakery,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Chai Thadi,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
THE BURGER COMPANY,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
The True Italian pizza,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Top Bakery,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Chai Thadi,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
SRI BALAJI TIFFINS ,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Papaji's Kitchen,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
OVENSTORY PIZZA BOY,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pawfea,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pizza Kitchen,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Just Curry,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Kolkata Club,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pepper Flake,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Space Brunch And Bar,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Rayudu juice shop,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
NELLORE VARI VINDHU BOJANAM,"Snacks, Chinese, Indian",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
